timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648209916449,2551,01_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,59464,8676,1,1,null,0,87,894
1648209916533,2551,https://petstore.octoperf.com/actions/Catalog.action,200,,OrderSubmissionFunctionality 1-1,text,true,,59464,8676,1,1,https://petstore.octoperf.com/actions/Catalog.action,1080,0,894
1648209919088,1434,02_SignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5388,6299,1,1,null,0,68835,392
1648209987909,1434,https://petstore.octoperf.com/actions/Account.action;jsessionid=ABB21493D2DA03FC65CD1C8816F09D96?signonForm=,200,,OrderSubmissionFunctionality 1-1,text,true,,5388,6299,1,1,https://petstore.octoperf.com/actions/Account.action;jsessionid=8E12104D65163D03D41FEAE0369C4D3A?signonForm=,564,0,392
1648209989357,551,03_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5466,6996,1,1,null,0,28057,0
1648210017411,551,https://petstore.octoperf.com/actions/Account.action,200,,OrderSubmissionFunctionality 1-1,text,true,,5466,6996,1,1,https://petstore.octoperf.com/actions/Account.action,188,0,0
1648210017966,522,04_CategoryPage,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5221,6273,1,1,null,0,11833,0
1648210029797,522,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,200,,OrderSubmissionFunctionality 1-1,text,true,,5221,6273,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,173,0,0
1648210030322,523,05_FishPage,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5397,6275,1,1,null,0,3695,0
1648210034016,523,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,200,,OrderSubmissionFunctionality 1-1,text,true,,5397,6275,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,172,0,0
1648210034540,525,06_AngelFishPage,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5096,6266,1,1,null,0,9291,0
1648210043830,525,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,200,,OrderSubmissionFunctionality 1-1,text,true,,5096,6266,1,1,https://petstore.octoperf.com/actions/Catalog.action?itemId=EST-1&viewItem=,177,0,0
1648210044356,1212,07_AddToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5955,6275,1,1,null,0,19438,349
1648210063795,1212,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,200,,OrderSubmissionFunctionality 1-1,text,true,,5955,6275,1,1,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,522,0,349
1648210065008,528,08_ProceedToCheckout,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5513,6255,1,1,null,0,17109,0
1648210082115,528,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,200,,OrderSubmissionFunctionality 1-1,text,true,,5513,6255,1,1,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,178,0,0
1648210082644,526,09_OrderConfirmationPage,200,"Number of samples in transaction : 1, number of failing samples : 0",OrderSubmissionFunctionality 1-1,,true,,5792,7315,1,1,null,0,18969,0
1648210101612,526,https://petstore.octoperf.com/actions/Order.action,200,,OrderSubmissionFunctionality 1-1,text,true,,5792,7315,1,1,https://petstore.octoperf.com/actions/Order.action,175,0,0
1648210102139,17156,10_OrderSubmissionPage,500,,OrderSubmissionFunctionality 1-1,,false,,15329,571,1,1,null,0,0,0
1648210118951,344,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,500,,OrderSubmissionFunctionality 1-1,text,false,,15329,571,1,1,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,177,0,0
